season,Div,Date,Time,kickoff,match_id,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HTHG,HTAG,home_win,draw,away_win,total_goals,over_2_5,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,total_corners,total_cards,total_shots,total_fouls,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA
2018-19,E0,2018-08-25,00:00,2018-08-25 00:00:00,20180825_wolves_mancity,Wolves,Man City,M Atkinson,1,1,D,0,0,0,1,0,2,0,11,18,2,6,13,8,5,9,1,2,0,0,14,3,29,21,,,,,,
2018-19,E0,2018-08-25,00:00,2018-08-25 00:00:00,20180825_southampton_leicester,Southampton,Leicester,J Moss,1,2,A,0,0,0,0,1,3,1,11,8,5,5,13,11,10,3,1,1,1,0,13,3,19,24,,,,,,
2018-19,E0,2018-08-25,00:00,2018-08-25 00:00:00,20180825_liverpool_brighton,Liverpool,Brighton,C Kavanagh,1,0,H,1,0,1,0,0,1,0,22,6,8,2,8,14,8,5,1,1,0,0,13,2,28,22,,,,,,
2018-19,E0,2018-08-25,00:00,2018-08-25 00:00:00,20180825_bournemouth_everton,Bournemouth,Everton,L Probert,2,2,D,0,0,0,1,0,4,1,17,11,5,3,12,10,6,2,0,3,1,1,8,5,28,22,,,,,,
2018-19,E0,2018-08-25,00:00,2018-08-25 00:00:00,20180825_arsenal_westham,Arsenal,West Ham,G Scott,3,1,H,1,1,1,0,0,4,1,17,13,10,5,16,13,10,2,1,3,0,0,12,4,30,29,,,,,,
2018-19,E0,2018-08-25,00:00,2018-08-25 00:00:00,20180825_huddersfield_cardiff,Huddersfield,Cardiff,M Oliver,0,0,D,0,0,0,1,0,0,0,5,14,1,4,8,10,7,7,0,1,1,0,14,2,19,18,,,,,,
2018-19,E0,2018-08-26,00:00,2018-08-26 00:00:00,20180826_fulham_burnley,Fulham,Burnley,D Coote,4,2,H,3,2,1,0,0,6,1,25,12,12,2,11,8,6,4,2,1,0,0,10,3,37,19,,,,,,
2018-19,E0,2018-08-26,00:00,2018-08-26 00:00:00,20180826_newcastle_chelsea,Newcastle,Chelsea,P Tierney,1,2,A,0,0,0,0,1,3,1,6,15,2,3,16,8,4,5,3,1,0,0,9,4,21,24,,,,,,
2018-19,E0,2018-08-26,00:00,2018-08-26 00:00:00,20180826_watford_crystalpalace,Watford,Crystal Palace,A Taylor,2,1,H,0,0,1,0,0,3,1,13,9,5,3,14,11,6,3,4,2,0,0,9,6,22,25,,,,,,
2018-19,E0,2018-08-27,00:00,2018-08-27 00:00:00,20180827_manunited_tottenham,Man United,Tottenham,C Pawson,0,3,A,0,0,0,0,1,3,1,23,9,5,5,11,16,5,2,2,4,0,0,7,6,32,27,,,,,,
2018-19,E0,2018-09-01,00:00,2018-09-01 00:00:00,20180901_westham_wolves,West Ham,Wolves,C Kavanagh,0,1,A,0,0,0,0,1,1,0,13,15,3,6,10,11,4,4,2,1,0,0,8,3,28,21,,,,,,
2018-19,E0,2018-09-01,00:00,2018-09-01 00:00:00,20180901_brighton_fulham,Brighton,Fulham,L Probert,2,2,D,0,1,0,1,0,4,1,15,10,5,5,12,14,7,1,3,3,0,0,8,6,25,26,,,,,,
2018-19,E0,2018-09-01,00:00,2018-09-01 00:00:00,20180901_chelsea_bournemouth,Chelsea,Bournemouth,L Mason,2,0,H,0,0,1,0,0,2,0,24,8,6,1,10,7,7,6,2,2,0,0,13,4,32,17,,,,,,
2018-19,E0,2018-09-01,00:00,2018-09-01 00:00:00,20180901_crystalpalace_southampton,Crystal Palace,Southampton,M Atkinson,0,2,A,0,0,0,0,1,2,0,20,19,6,6,11,12,7,4,1,1,0,0,11,2,39,23,,,,,,
2018-19,E0,2018-09-01,00:00,2018-09-01 00:00:00,20180901_everton_huddersfield,Everton,Huddersfield,S Attwell,1,1,D,1,1,0,1,0,2,0,11,9,1,6,13,14,4,3,3,3,0,0,7,6,20,27,,,,,,
2018-19,E0,2018-09-01,00:00,2018-09-01 00:00:00,20180901_leicester_liverpool,Leicester,Liverpool,P Tierney,1,2,A,0,2,0,0,1,3,1,12,10,5,4,9,12,4,4,3,2,0,0,8,5,22,21,,,,,,
2018-19,E0,2018-09-01,00:00,2018-09-01 00:00:00,20180901_mancity_newcastle,Man City,Newcastle,K Friend,2,1,H,1,1,1,0,0,3,1,24,3,8,2,5,13,4,0,0,0,0,0,4,0,27,18,,,,,,
2018-19,E0,2018-09-02,00:00,2018-09-02 00:00:00,20180902_watford_tottenham,Watford,Tottenham,A Marriner,2,1,H,0,0,1,0,0,3,1,7,11,3,2,9,8,3,10,2,1,0,0,13,3,18,17,,,,,,
2018-19,E0,2018-09-02,00:00,2018-09-02 00:00:00,20180902_burnley_manunited,Burnley,Man United,J Moss,0,2,A,0,2,0,0,1,2,0,9,21,2,9,7,13,2,5,2,3,0,1,7,6,30,20,,,,,,
2018-19,E0,2018-09-02,00:00,2018-09-02 00:00:00,20180902_cardiff_arsenal,Cardiff,Arsenal,A Taylor,2,3,A,1,1,0,0,1,5,1,14,17,3,11,12,14,3,9,3,4,0,0,12,7,31,26,,,,,,
2018-19,E0,2018-09-15,00:00,2018-09-15 00:00:00,20180915_bournemouth_leicester,Bournemouth,Leicester,C Pawson,4,2,H,3,0,1,0,0,6,1,10,14,5,8,13,15,4,6,3,2,0,1,10,6,24,28,,,,,,
2018-19,E0,2018-09-15,00:00,2018-09-15 00:00:00,20180915_chelsea_cardiff,Chelsea,Cardiff,J Moss,4,1,H,2,1,1,0,0,5,1,18,6,7,2,8,10,5,4,0,0,0,0,9,0,24,18,,,,,,
2018-19,E0,2018-09-15,00:00,2018-09-15 00:00:00,20180915_huddersfield_crystalpalace,Huddersfield,Crystal Palace,L Mason,0,1,A,0,1,0,0,1,1,0,15,7,2,2,11,17,5,3,1,2,0,0,8,3,22,28,,,,,,
2018-19,E0,2018-09-15,00:00,2018-09-15 00:00:00,20180915_mancity_fulham,Man City,Fulham,S Attwell,3,0,H,2,0,1,0,0,3,1,28,9,9,3,7,7,10,4,0,0,0,0,14,0,37,14,,,,,,
2018-19,E0,2018-09-15,00:00,2018-09-15 00:00:00,20180915_newcastle_arsenal,Newcastle,Arsenal,L Probert,1,2,A,0,0,0,0,1,3,1,4,12,2,2,13,11,10,4,0,0,0,0,14,0,16,24,,,,,,
2018-19,E0,2018-09-15,00:00,2018-09-15 00:00:00,20180915_tottenham_liverpool,Tottenham,Liverpool,M Oliver,1,2,A,0,1,0,0,1,3,1,11,17,3,10,17,16,5,4,0,0,0,0,9,0,28,33,,,,,,
2018-19,E0,2018-09-15,00:00,2018-09-15 00:00:00,20180915_watford_manunited,Watford,Man United,M Dean,1,2,A,0,2,0,0,1,3,1,14,9,5,6,9,11,6,8,2,1,0,1,14,4,23,20,,,,,,
2018-19,E0,2018-09-16,00:00,2018-09-16 00:00:00,20180916_everton_westham,Everton,West Ham,M Atkinson,1,3,A,1,2,0,0,1,4,1,16,9,4,4,15,12,4,2,2,5,0,0,6,7,25,27,,,,,,
2018-19,E0,2018-09-16,00:00,2018-09-16 00:00:00,20180916_wolves_burnley,Wolves,Burnley,A Marriner,1,0,H,0,0,1,0,0,1,0,30,7,7,2,10,9,8,2,2,4,0,0,10,6,37,19,,,,,,
2018-19,E0,2018-09-17,00:00,2018-09-17 00:00:00,20180917_southampton_brighton,Southampton,Brighton,A Taylor,2,2,D,1,0,0,1,0,4,1,14,12,5,4,10,13,1,4,2,3,0,0,5,5,26,23,,,,,,
2018-19,E0,2018-09-22,00:00,2018-09-22 00:00:00,20180922_manunited_wolves,Man United,Wolves,K Friend,1,1,D,1,0,0,1,0,2,0,15,11,6,8,5,17,5,4,1,1,0,0,9,2,26,22,,,,,,
2018-19,E0,2018-09-22,00:00,2018-09-22 00:00:00,20180922_liverpool_southampton,Liverpool,Southampton,P Tierney,3,0,H,3,0,1,0,0,3,1,12,7,4,1,7,10,5,4,0,2,0,0,9,2,19,17,,,,,,
2018-19,E0,2018-09-22,00:00,2018-09-22 00:00:00,20180922_leicester_huddersfield,Leicester,Huddersfield,D Coote,3,1,H,1,1,1,0,0,4,1,18,9,8,2,10,16,3,1,2,1,0,0,4,3,27,26,,,,,,
2018-19,E0,2018-09-22,00:00,2018-09-22 00:00:00,20180922_fulham_watford,Fulham,Watford,M Atkinson,1,1,D,0,1,0,1,0,2,0,15,11,3,6,11,9,8,8,2,1,0,0,16,3,26,20,,,,,,
2018-19,E0,2018-09-22,00:00,2018-09-22 00:00:00,20180922_brighton_tottenham,Brighton,Tottenham,C Kavanagh,1,2,A,0,1,0,0,1,3,1,8,16,4,7,15,9,5,7,2,1,0,0,12,3,24,24,,,,,,
2018-19,E0,2018-09-22,00:00,2018-09-22 00:00:00,20180922_cardiff_mancity,Cardiff,Man City,M Oliver,0,5,A,0,3,0,0,1,5,1,2,21,2,10,6,4,1,9,1,1,0,0,10,2,23,10,,,,,,
2018-19,E0,2018-09-22,00:00,2018-09-22 00:00:00,20180922_burnley_bournemouth,Burnley,Bournemouth,A Taylor,4,0,H,2,0,1,0,0,4,1,12,19,5,5,17,6,3,8,2,0,0,0,11,2,31,23,,,,,,
2018-19,E0,2018-09-22,00:00,2018-09-22 00:00:00,20180922_crystalpalace_newcastle,Crystal Palace,Newcastle,A Marriner,0,0,D,0,0,0,1,0,0,0,16,6,4,3,8,11,9,5,1,1,0,0,14,2,22,19,,,,,,
2018-19,E0,2018-09-23,00:00,2018-09-23 00:00:00,20180923_arsenal_everton,Arsenal,Everton,J Moss,2,0,H,0,0,1,0,0,2,0,9,9,5,6,17,12,5,9,2,1,0,0,14,3,18,29,,,,,,
2018-19,E0,2018-09-23,00:00,2018-09-23 00:00:00,20180923_westham_chelsea,West Ham,Chelsea,M Dean,0,0,D,0,0,0,1,0,0,0,6,17,1,6,11,9,1,8,2,1,0,0,9,3,23,20,,,,,,
2018-19,E0,2018-09-29,00:00,2018-09-29 00:00:00,20180929_newcastle_leicester,Newcastle,Leicester,S Hooper,0,2,A,0,1,0,0,1,2,0,6,12,1,5,11,5,5,9,0,0,0,0,14,0,18,16,,,,,,
2018-19,E0,2018-09-29,00:00,2018-09-29 00:00:00,20180929_westham_manunited,West Ham,Man United,M Oliver,3,1,H,2,0,1,0,0,4,1,8,9,3,4,12,12,4,9,0,1,0,0,13,1,17,24,,,,,,
2018-19,E0,2018-09-29,00:00,2018-09-29 00:00:00,20180929_mancity_brighton,Man City,Brighton,L Mason,2,0,H,1,0,1,0,0,2,0,28,4,8,1,4,10,10,3,0,3,0,0,13,3,32,14,,,,,,
2018-19,E0,2018-09-29,00:00,2018-09-29 00:00:00,20180929_wolves_southampton,Wolves,Southampton,S Attwell,2,0,H,0,0,1,0,0,2,0,14,17,6,6,11,7,8,6,3,1,0,0,14,4,31,18,,,,,,
2018-19,E0,2018-09-29,00:00,2018-09-29 00:00:00,20180929_everton_fulham,Everton,Fulham,R East,3,0,H,0,0,1,0,0,3,1,19,6,6,0,13,13,12,1,0,3,0,0,13,3,25,26,,,,,,
2018-19,E0,2018-09-29,00:00,2018-09-29 00:00:00,20180929_chelsea_liverpool,Chelsea,Liverpool,A Marriner,1,1,D,1,0,0,1,0,2,0,10,13,4,6,7,9,4,4,0,2,0,0,8,2,23,16,,,,,,
2018-19,E0,2018-09-29,00:00,2018-09-29 00:00:00,20180929_arsenal_watford,Arsenal,Watford,A Taylor,2,0,H,0,0,1,0,0,2,0,9,13,2,4,11,17,6,6,2,2,0,0,12,4,22,28,,,,,,
2018-19,E0,2018-09-29,00:00,2018-09-29 00:00:00,20180929_huddersfield_tottenham,Huddersfield,Tottenham,C Pawson,0,2,A,0,2,0,0,1,2,0,9,10,5,6,17,16,3,0,2,2,0,0,3,4,19,33,,,,,,
2018-19,E0,2018-09-30,00:00,2018-09-30 00:00:00,20180930_cardiff_burnley,Cardiff,Burnley,M Atkinson,1,2,A,0,0,0,0,1,3,1,19,3,5,2,11,15,10,2,1,3,0,0,12,4,22,26,,,,,,
2018-19,E0,2018-10-01,00:00,2018-10-01 00:00:00,20181001_bournemouth_crystalpalace,Bournemouth,Crystal Palace,M Dean,2,1,H,1,0,1,0,0,3,1,11,10,5,2,9,12,3,3,3,4,0,0,6,7,21,21,,,,,,
2018-19,E0,2018-10-05,00:00,2018-10-05 00:00:00,20181005_brighton_westham,Brighton,West Ham,K Friend,1,0,H,1,0,1,0,0,1,0,9,17,4,4,12,8,2,9,3,2,0,0,11,5,26,20,,,,,,
2018-19,E0,2018-10-06,00:00,2018-10-06 00:00:00,20181006_watford_bournemouth,Watford,Bournemouth,J Moss,0,4,A,0,3,0,0,1,4,1,14,10,2,7,11,9,10,7,3,1,1,0,17,5,24,20,,,,,,
2018-19,E0,2018-10-06,00:00,2018-10-06 00:00:00,20181006_tottenham_cardiff,Tottenham,Cardiff,M Dean,1,0,H,1,0,1,0,0,1,0,19,8,7,6,7,11,6,2,2,1,0,1,8,4,27,18,,,,,,
2018-19,E0,2018-10-06,00:00,2018-10-06 00:00:00,20181006_manunited_newcastle,Man United,Newcastle,A Taylor,3,2,H,0,2,1,0,0,5,1,18,13,10,8,16,8,10,6,2,2,0,0,16,4,31,24,,,,,,
2018-19,E0,2018-10-06,00:00,2018-10-06 00:00:00,20181006_leicester_everton,Leicester,Everton,A Marriner,1,2,A,1,1,0,0,1,3,1,8,17,2,8,10,11,2,10,2,1,1,0,12,4,25,21,,,,,,
2018-19,E0,2018-10-06,00:00,2018-10-06 00:00:00,20181006_crystalpalace_wolves,Crystal Palace,Wolves,M Oliver,0,1,A,0,0,0,0,1,1,0,11,7,4,2,11,13,6,3,3,4,0,0,9,7,18,24,,,,,,
2018-19,E0,2018-10-06,00:00,2018-10-06 00:00:00,20181006_burnley_huddersfield,Burnley,Huddersfield,C Kavanagh,1,1,D,1,0,0,1,0,2,0,6,19,3,2,8,11,1,10,2,2,0,0,11,4,25,19,,,,,,
2018-19,E0,2018-10-07,00:00,2018-10-07 00:00:00,20181007_fulham_arsenal,Fulham,Arsenal,P Tierney,1,5,A,1,1,0,0,1,6,1,21,9,4,7,11,12,4,2,2,0,0,0,6,2,30,23,,,,,,
2018-19,E0,2018-10-07,00:00,2018-10-07 00:00:00,20181007_liverpool_mancity,Liverpool,Man City,M Atkinson,0,0,D,0,0,0,1,0,0,0,7,6,2,2,10,10,2,6,1,3,0,0,8,4,13,20,,,,,,
2018-19,E0,2018-10-07,00:00,2018-10-07 00:00:00,20181007_southampton_chelsea,Southampton,Chelsea,C Pawson,0,3,A,0,1,0,0,1,3,1,15,21,6,6,13,11,4,12,6,0,0,0,16,6,36,24,,,,,,
2018-19,E0,2018-10-20,00:00,2018-10-20 00:00:00,20181020_wolves_watford,Wolves,Watford,L Mason,0,2,A,0,2,0,0,1,2,0,10,9,1,3,23,13,8,2,3,1,0,0,10,4,19,36,,,,,,
2018-19,E0,2018-10-20,00:00,2018-10-20 00:00:00,20181020_westham_tottenham,West Ham,Tottenham,M Atkinson,0,1,A,0,1,0,0,1,1,0,13,10,4,2,8,10,10,6,3,0,0,0,16,3,23,18,,,,,,
2018-19,E0,2018-10-20,00:00,2018-10-20 00:00:00,20181020_newcastle_brighton,Newcastle,Brighton,A Marriner,0,1,A,0,1,0,0,1,1,0,27,8,6,2,13,17,10,2,0,2,0,0,12,2,35,30,,,,,,
2018-19,E0,2018-10-20,00:00,2018-10-20 00:00:00,20181020_mancity_burnley,Man City,Burnley,J Moss,5,0,H,1,0,1,0,0,5,1,24,5,10,0,11,5,10,1,2,2,0,0,11,4,29,16,,,,,,
2018-19,E0,2018-10-20,00:00,2018-10-20 00:00:00,20181020_bournemouth_southampton,Bournemouth,Southampton,L Probert,0,0,D,0,0,0,1,0,0,0,10,8,2,4,10,14,6,4,1,2,0,0,10,3,18,24,,,,,,
2018-19,E0,2018-10-20,00:00,2018-10-20 00:00:00,20181020_chelsea_manunited,Chelsea,Man United,M Dean,2,2,D,1,0,0,1,0,4,1,21,7,6,4,9,17,5,3,2,5,0,0,8,7,28,26,,,,,,
2018-19,E0,2018-10-20,00:00,2018-10-20 00:00:00,20181020_cardiff_fulham,Cardiff,Fulham,K Friend,4,2,H,2,2,1,0,0,6,1,22,9,5,4,15,16,4,4,3,3,0,0,8,6,31,31,,,,,,
2018-19,E0,2018-10-20,00:00,2018-10-20 00:00:00,20181020_huddersfield_liverpool,Huddersfield,Liverpool,M Oliver,0,1,A,0,1,0,0,1,1,0,13,11,1,2,9,6,2,4,0,2,0,0,6,2,24,15,,,,,,
2018-19,E0,2018-10-21,00:00,2018-10-21 00:00:00,20181021_everton_crystalpalace,Everton,Crystal Palace,A Taylor,2,0,H,0,0,1,0,0,2,0,20,7,4,3,13,17,10,5,2,1,0,0,15,3,27,30,,,,,,
2018-19,E0,2018-10-22,00:00,2018-10-22 00:00:00,20181022_arsenal_leicester,Arsenal,Leicester,C Kavanagh,3,1,H,1,1,1,0,0,4,1,19,8,6,2,10,10,6,4,2,2,0,0,10,4,27,20,,,,,,
2018-19,E0,2018-10-27,00:00,2018-10-27 00:00:00,20181027_watford_huddersfield,Watford,Huddersfield,M Dean,3,0,H,2,0,1,0,0,3,1,12,13,6,7,9,13,3,3,1,2,0,0,6,3,25,22,,,,,,
2018-19,E0,2018-10-27,00:00,2018-10-27 00:00:00,20181027_brighton_wolves,Brighton,Wolves,A Taylor,1,0,H,0,0,1,0,0,1,0,2,25,1,7,11,8,1,10,3,0,0,0,11,3,27,19,,,,,,
2018-19,E0,2018-10-27,00:00,2018-10-27 00:00:00,20181027_fulham_bournemouth,Fulham,Bournemouth,A Marriner,0,3,A,0,1,0,0,1,3,1,11,12,1,5,16,3,5,5,2,1,1,0,10,4,23,19,,,,,,
2018-19,E0,2018-10-27,00:00,2018-10-27 00:00:00,20181027_leicester_westham,Leicester,West Ham,M Oliver,1,1,D,0,1,0,1,0,2,0,21,11,7,3,17,5,8,0,1,1,0,1,8,3,32,22,,,,,,
2018-19,E0,2018-10-27,00:00,2018-10-27 00:00:00,20181027_liverpool_cardiff,Liverpool,Cardiff,S Attwell,4,1,H,1,0,1,0,0,5,1,19,2,7,1,6,4,8,0,0,0,0,0,8,0,21,10,,,,,,
2018-19,E0,2018-10-27,00:00,2018-10-27 00:00:00,20181027_southampton_newcastle,Southampton,Newcastle,C Kavanagh,0,0,D,0,0,0,1,0,0,0,22,6,4,0,9,12,7,2,0,1,0,0,9,1,28,21,,,,,,
2018-19,E0,2018-10-28,00:00,2018-10-28 00:00:00,20181028_manunited_everton,Man United,Everton,J Moss,2,1,H,1,0,1,0,0,3,1,14,14,10,6,15,12,8,4,2,1,0,0,12,3,28,27,,,,,,
2018-19,E0,2018-10-28,00:00,2018-10-28 00:00:00,20181028_burnley_chelsea,Burnley,Chelsea,C Pawson,0,4,A,0,1,0,0,1,4,1,7,24,1,8,14,10,4,4,4,2,0,0,8,6,31,24,,,,,,
2018-19,E0,2018-10-28,00:00,2018-10-28 00:00:00,20181028_crystalpalace_arsenal,Crystal Palace,Arsenal,M Atkinson,2,2,D,1,0,0,1,0,4,1,16,7,3,2,10,16,6,4,1,2,0,0,10,3,23,26,,,,,,
2018-19,E0,2018-10-29,00:00,2018-10-29 00:00:00,20181029_tottenham_mancity,Tottenham,Man City,K Friend,0,1,A,0,1,0,0,1,1,0,4,13,1,6,13,13,3,6,2,2,0,0,9,4,17,26,,,,,,
2018-19,E0,2018-11-03,00:00,2018-11-03 00:00:00,20181103_arsenal_liverpool,Arsenal,Liverpool,A Marriner,1,1,D,0,0,0,1,0,2,0,12,13,4,4,7,7,5,8,1,1,0,0,13,2,25,14,,,,,,
2018-19,E0,2018-11-03,00:00,2018-11-03 00:00:00,20181103_bournemouth_manunited,Bournemouth,Man United,P Tierney,1,2,A,1,1,0,0,1,3,1,18,18,7,8,12,12,9,5,4,3,0,0,14,7,36,24,,,,,,
2018-19,E0,2018-11-03,00:00,2018-11-03 00:00:00,20181103_cardiff_leicester,Cardiff,Leicester,L Probert,0,1,A,0,0,0,0,1,1,0,11,13,2,5,13,12,6,12,2,2,0,0,18,4,24,25,,,,,,
2018-19,E0,2018-11-03,00:00,2018-11-03 00:00:00,20181103_everton_brighton,Everton,Brighton,D Coote,3,1,H,1,1,1,0,0,4,1,14,5,3,3,9,17,6,4,0,1,0,0,10,1,19,26,,,,,,
2018-19,E0,2018-11-03,00:00,2018-11-03 00:00:00,20181103_newcastle_watford,Newcastle,Watford,C Pawson,1,0,H,0,0,1,0,0,1,0,10,16,2,1,12,11,8,9,1,5,0,0,17,6,26,23,,,,,,
2018-19,E0,2018-11-03,00:00,2018-11-03 00:00:00,20181103_westham_burnley,West Ham,Burnley,R East,4,2,H,1,1,1,0,0,6,1,22,6,10,3,7,9,10,4,1,4,0,0,14,5,28,16,,,,,,
2018-19,E0,2018-11-03,00:00,2018-11-03 00:00:00,20181103_wolves_tottenham,Wolves,Tottenham,M Dean,2,3,A,0,2,0,0,1,5,1,16,10,7,8,11,8,5,1,1,2,0,0,6,3,26,19,,,,,,
2018-19,E0,2018-11-04,00:00,2018-11-04 00:00:00,20181104_chelsea_crystalpalace,Chelsea,Crystal Palace,M Oliver,3,1,H,1,0,1,0,0,4,1,15,7,6,2,6,13,4,2,0,1,0,0,6,1,22,19,,,,,,
2018-19,E0,2018-11-04,00:00,2018-11-04 00:00:00,20181104_mancity_southampton,Man City,Southampton,L Mason,6,1,H,4,1,1,0,0,7,1,18,12,8,6,14,9,4,4,1,1,0,0,8,2,30,23,,,,,,
2018-19,E0,2018-11-05,00:00,2018-11-05 00:00:00,20181105_huddersfield_fulham,Huddersfield,Fulham,A Taylor,1,0,H,1,0,1,0,0,1,0,10,7,2,1,11,8,5,4,1,2,0,0,9,3,17,19,,,,,,
2018-19,E0,2018-11-10,00:00,2018-11-10 00:00:00,20181110_southampton_watford,Southampton,Watford,S Hooper,1,1,D,1,0,0,1,0,2,0,14,12,4,6,13,13,7,6,3,2,0,0,13,5,26,26,,,,,,
2018-19,E0,2018-11-10,00:00,2018-11-10 00:00:00,20181110_newcastle_bournemouth,Newcastle,Bournemouth,L Probert,2,1,H,2,1,1,0,0,3,1,18,14,6,4,9,11,7,10,2,1,0,0,17,3,32,20,,,,,,
2018-19,E0,2018-11-10,00:00,2018-11-10 00:00:00,20181110_leicester_burnley,Leicester,Burnley,M Dean,0,0,D,0,0,0,1,0,0,0,22,6,5,1,13,10,12,1,2,0,0,0,13,2,28,23,,,,,,
2018-19,E0,2018-11-10,00:00,2018-11-10 00:00:00,20181110_cardiff_brighton,Cardiff,Brighton,M Atkinson,2,1,H,1,1,1,0,0,3,1,20,7,6,3,7,21,4,1,2,1,0,1,5,4,27,28,,,,,,
2018-19,E0,2018-11-10,00:00,2018-11-10 00:00:00,20181110_crystalpalace_tottenham,Crystal Palace,Tottenham,J Moss,0,1,A,0,0,0,0,1,1,0,11,11,4,2,12,9,10,6,1,1,0,0,16,2,22,21,,,,,,
2018-19,E0,2018-11-10,00:00,2018-11-10 00:00:00,20181110_huddersfield_westham,Huddersfield,West Ham,C Kavanagh,1,1,D,1,0,0,1,0,2,0,15,12,7,5,9,8,5,6,1,1,0,0,11,2,27,17,,,,,,
2018-19,E0,2018-11-11,00:00,2018-11-11 00:00:00,20181111_arsenal_wolves,Arsenal,Wolves,S Attwell,1,1,D,0,1,0,1,0,2,0,10,12,3,5,9,16,11,2,2,2,0,0,13,4,22,25,,,,,,
2018-19,E0,2018-11-11,00:00,2018-11-11 00:00:00,20181111_chelsea_everton,Chelsea,Everton,K Friend,0,0,D,0,0,0,1,0,0,0,15,6,4,1,7,11,5,5,4,3,0,0,10,7,21,18,,,,,,
2018-19,E0,2018-11-11,00:00,2018-11-11 00:00:00,20181111_liverpool_fulham,Liverpool,Fulham,P Tierney,2,0,H,1,0,1,0,0,2,0,20,8,7,3,11,9,6,3,1,1,0,0,9,2,28,20,,,,,,
2018-19,E0,2018-11-11,00:00,2018-11-11 00:00:00,20181111_mancity_manunited,Man City,Man United,A Taylor,3,1,H,1,0,1,0,0,4,1,17,6,5,1,12,12,5,1,1,1,0,0,6,2,23,24,,,,,,
2018-19,E0,2018-11-24,00:00,2018-11-24 00:00:00,20181124_watford_liverpool,Watford,Liverpool,J Moss,0,3,A,0,0,0,0,1,3,1,5,10,1,7,12,13,5,5,0,0,0,1,10,1,15,25,,,,,,
2018-19,E0,2018-11-24,00:00,2018-11-24 00:00:00,20181124_westham_mancity,West Ham,Man City,A Marriner,0,4,A,0,3,0,0,1,4,1,9,9,1,6,6,3,8,1,0,0,0,0,9,0,18,9,,,,,,
2018-19,E0,2018-11-24,00:00,2018-11-24 00:00:00,20181124_tottenham_chelsea,Tottenham,Chelsea,M Atkinson,3,1,H,2,0,1,0,0,4,1,18,13,9,2,19,12,4,4,0,3,0,0,8,3,31,31,,,,,,
2018-19,E0,2018-11-24,00:00,2018-11-24 00:00:00,20181124_everton_cardiff,Everton,Cardiff,P Tierney,1,0,H,0,0,1,0,0,1,0,16,7,8,1,12,13,7,3,0,3,0,0,10,3,23,25,,,,,,
2018-19,E0,2018-11-24,00:00,2018-11-24 00:00:00,20181124_fulham_southampton,Fulham,Southampton,M Oliver,3,2,H,2,1,1,0,0,5,1,10,19,5,8,10,6,2,5,2,3,0,0,7,5,29,16,,,,,,
2018-19,E0,2018-11-24,00:00,2018-11-24 00:00:00,20181124_brighton_leicester,Brighton,Leicester,C Kavanagh,1,1,D,1,0,0,1,0,2,0,14,8,3,3,10,7,6,1,3,1,0,1,7,5,22,17,,,,,,
2018-19,E0,2018-11-24,00:00,2018-11-24 00:00:00,20181124_manunited_crystalpalace,Man United,Crystal Palace,L Mason,0,0,D,0,0,0,1,0,0,0,12,13,5,2,13,12,10,3,1,2,0,0,13,3,25,25,,,,,,
2018-19,E0,2018-11-25,00:00,2018-11-25 00:00:00,20181125_bournemouth_arsenal,Bournemouth,Arsenal,C Pawson,1,2,A,1,1,0,0,1,3,1,11,20,5,4,6,9,5,8,2,1,0,0,13,3,31,15,,,,,,
2018-19,E0,2018-11-25,00:00,2018-11-25 00:00:00,20181125_wolves_huddersfield,Wolves,Huddersfield,K Friend,0,2,A,0,1,0,0,1,2,0,12,14,3,6,9,8,3,5,1,2,0,0,8,3,26,17,,,,,,
2018-19,E0,2018-11-26,00:00,2018-11-26 00:00:00,20181126_burnley_newcastle,Burnley,Newcastle,A Taylor,1,2,A,1,2,0,0,1,3,1,14,17,4,3,6,11,5,5,0,1,0,0,10,1,31,17,,,,,,
2018-19,E0,2018-11-30,00:00,2018-11-30 00:00:00,20181130_cardiff_wolves,Cardiff,Wolves,A Marriner,2,1,H,0,1,1,0,0,3,1,17,15,3,4,3,12,7,6,1,2,0,0,13,3,32,15,,,,,,
2018-19,E0,2018-12-01,00:00,2018-12-01 00:00:00,20181201_southampton_manunited,Southampton,Man United,K Friend,2,2,D,2,2,0,1,0,4,1,16,11,6,5,12,13,3,5,4,4,0,0,8,8,27,25,,,,,,
2018-19,E0,2018-12-01,00:00,2018-12-01 00:00:00,20181201_newcastle_westham,Newcastle,West Ham,P Tierney,0,3,A,0,1,0,0,1,3,1,16,7,4,4,10,10,7,3,3,3,0,0,10,6,23,20,,,,,,
2018-19,E0,2018-12-01,00:00,2018-12-01 00:00:00,20181201_mancity_bournemouth,Man City,Bournemouth,S Attwell,3,1,H,1,1,1,0,0,4,1,16,4,6,1,9,3,8,4,0,0,0,0,12,0,20,12,,,,,,
2018-19,E0,2018-12-01,00:00,2018-12-01 00:00:00,20181201_huddersfield_brighton,Huddersfield,Brighton,M Oliver,1,2,A,1,1,0,0,1,3,1,7,14,2,6,10,12,2,6,0,2,1,0,8,3,21,22,,,,,,
