Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,kickoff,match_id,home_win,draw,away_win,total_goals,over_2_5,total_corners,total_cards,total_shots,total_fouls
E0,2024-08-31,15:00,Brentford,Southampton,3,1,H,1,0,20,18,7,6,10,7,2,8,2,1,0,0,1.77,3.97,4.46,1.82,4.12,4.7,2024-08-31 15:00:00,20240831_brentford_southampton,1,0,0,4,1,10,3,38,17
E0,2024-08-31,15:00,Everton,Bournemouth,2,3,A,0,0,18,17,8,7,6,1,8,4,2,1,0,0,2.78,3.4,2.59,2.85,3.5,2.64,2024-08-31 15:00:00,20240831_everton_bournemouth,0,0,1,5,1,12,3,35,7
E0,2024-08-31,15:00,Ipswich,Fulham,1,1,D,1,1,11,9,4,4,15,15,8,6,2,3,0,0,3.1,3.5,2.31,3.2,3.66,2.38,2024-08-31 15:00:00,20240831_ipswich_fulham,0,1,0,2,0,14,5,20,30
E0,2024-08-31,17:30,West Ham,Man City,1,3,A,1,2,10,23,2,8,10,3,3,11,3,2,0,0,7.57,5.49,1.38,8.0,5.8,1.41,2024-08-31 17:30:00,20240831_westham_mancity,0,0,1,4,1,14,5,33,13
E0,2024-09-01,13:30,Chelsea,Crystal Palace,1,1,D,1,0,13,9,7,3,9,13,4,5,4,2,0,0,1.63,4.4,5.01,1.68,4.55,5.2,2024-09-01 13:30:00,20240901_chelsea_crystalpalace,0,1,0,2,0,9,6,22,22
E0,2024-09-01,13:30,Newcastle,Tottenham,2,1,H,1,0,9,20,3,6,16,13,7,12,4,4,0,0,2.51,3.97,2.56,2.56,4.12,2.63,2024-09-01 13:30:00,20240901_newcastle_tottenham,1,0,0,3,1,19,8,29,29
E0,2024-09-01,16:00,Man United,Liverpool,0,3,A,0,2,8,11,3,3,7,7,5,2,4,1,0,0,3.82,4.2,1.85,4.0,4.4,1.9,2024-09-01 16:00:00,20240901_manunited_liverpool,0,0,1,3,1,7,5,19,14
E0,2024-09-14,12:30,Southampton,Man United,0,3,A,0,2,6,20,4,10,11,14,0,7,1,4,1,0,4.56,4.04,1.74,4.83,4.2,1.79,2024-09-14 12:30:00,20240914_southampton_manunited,0,0,1,3,1,7,6,26,25
E0,2024-09-14,15:00,Man City,Brentford,2,1,H,2,1,18,8,7,5,9,3,12,3,3,1,0,0,1.17,8.2,14.79,1.21,9.2,17.0,2024-09-14 15:00:00,20240914_mancity_brentford,1,0,0,3,1,15,4,26,12
E0,2024-09-14,15:00,Liverpool,Nott'm Forest,0,1,A,0,0,14,5,5,3,15,6,7,2,4,4,0,0,1.22,7.03,12.4,1.25,7.7,13.0,2024-09-14 15:00:00,20240914_liverpool_nott'mforest,0,0,1,1,0,9,8,19,21
E0,2024-09-14,15:00,Fulham,West Ham,1,1,D,1,0,21,11,5,3,15,18,3,2,2,3,0,0,2.42,3.48,2.92,2.5,3.6,3.03,2024-09-14 15:00:00,20240914_fulham_westham,0,1,0,2,0,5,5,32,33
E0,2024-09-14,15:00,Brighton,Ipswich,0,0,D,0,0,21,6,6,1,14,16,9,2,4,3,0,0,1.38,5.16,7.89,1.41,5.4,8.5,2024-09-14 15:00:00,20240914_brighton_ipswich,0,1,0,0,0,11,7,27,30
E0,2024-09-14,15:00,Crystal Palace,Leicester,2,2,D,0,1,20,9,4,4,11,15,5,2,0,3,0,0,1.63,4.14,5.38,1.66,4.3,5.6,2024-09-14 15:00:00,20240914_crystalpalace_leicester,0,1,0,4,1,7,3,29,26
E0,2024-09-14,17:30,Aston Villa,Everton,3,2,H,1,2,17,6,8,2,10,12,6,2,1,4,0,0,1.51,4.48,6.34,1.55,4.65,6.7,2024-09-14 17:30:00,20240914_astonvilla_everton,1,0,0,5,1,8,5,23,22
E0,2024-09-14,20:00,Bournemouth,Chelsea,0,1,A,0,0,19,10,7,3,16,9,6,3,6,8,0,0,3.33,3.96,2.05,3.45,4.12,2.09,2024-09-14 20:00:00,20240914_bournemouth_chelsea,0,0,1,1,0,9,14,29,25
E0,2024-09-15,14:00,Tottenham,Arsenal,0,1,A,0,0,15,7,5,4,13,10,7,6,5,3,0,0,2.99,3.59,2.33,3.13,3.75,2.4,2024-09-15 14:00:00,20240915_tottenham_arsenal,0,0,1,1,0,13,8,22,23
E0,2024-09-15,16:30,Wolves,Newcastle,1,2,A,1,0,12,14,5,6,17,6,4,7,3,3,0,0,3.36,3.69,2.11,3.48,3.8,2.18,2024-09-15 16:30:00,20240915_wolves_newcastle,0,0,1,3,1,11,6,26,23
E0,2024-09-21,12:30,West Ham,Chelsea,0,3,A,0,2,15,12,7,5,17,9,6,5,5,2,0,0,3.49,3.89,2.01,3.71,4.0,2.05,2024-09-21 12:30:00,20240921_westham_chelsea,0,0,1,3,1,11,7,27,26
E0,2024-09-21,15:00,Southampton,Ipswich,1,1,D,1,0,11,13,3,6,16,16,2,10,4,4,0,0,2.25,3.52,3.17,2.3,3.7,3.27,2024-09-21 15:00:00,20240921_southampton_ipswich,0,1,0,2,0,12,8,24,32
E0,2024-09-21,15:00,Liverpool,Bournemouth,3,0,H,3,0,19,19,13,6,10,12,3,9,1,4,0,0,1.29,6.31,9.35,1.31,6.7,10.0,2024-09-21 15:00:00,20240921_liverpool_bournemouth,1,0,0,3,1,12,5,38,22
E0,2024-09-21,15:00,Tottenham,Brentford,3,1,H,2,1,23,6,10,6,11,9,9,4,3,1,0,0,1.55,4.72,5.41,1.58,5.0,5.6,2024-09-21 15:00:00,20240921_tottenham_brentford,1,0,0,4,1,13,4,29,20
E0,2024-09-21,15:00,Fulham,Newcastle,3,1,H,2,0,22,15,11,4,16,8,6,0,6,0,0,0,2.86,3.51,2.45,3.0,3.61,2.52,2024-09-21 15:00:00,20240921_fulham_newcastle,1,0,0,4,1,6,6,37,24
E0,2024-09-21,15:00,Aston Villa,Wolves,3,1,H,0,1,9,10,4,4,11,16,6,5,3,6,0,0,1.59,4.39,5.35,1.62,4.6,5.6,2024-09-21 15:00:00,20240921_astonvilla_wolves,1,0,0,4,1,11,9,19,27
E0,2024-09-21,15:00,Leicester,Everton,1,1,D,0,1,12,16,2,5,11,12,6,1,1,2,0,0,2.52,3.44,2.82,2.58,3.6,2.92,2024-09-21 15:00:00,20240921_leicester_everton,0,1,0,2,0,7,3,28,23
E0,2024-09-21,17:30,Crystal Palace,Man United,0,0,D,0,0,9,15,4,6,7,12,4,11,3,1,0,0,2.85,3.72,2.36,2.96,3.88,2.42,2024-09-21 17:30:00,20240921_crystalpalace_manunited,0,1,0,0,0,15,4,24,19
E0,2024-09-22,14:00,Brighton,Nott'm Forest,2,2,D,2,1,14,4,3,3,12,11,9,1,3,4,0,1,1.86,3.83,4.21,2.44,3.99,4.75,2024-09-22 14:00:00,20240922_brighton_nott'mforest,0,1,0,4,1,10,8,18,23
E0,2024-09-22,16:30,Man City,Arsenal,2,2,D,1,2,33,5,11,3,7,10,8,2,3,4,0,1,1.83,3.62,4.52,1.87,3.75,4.75,2024-09-22 16:30:00,20240922_mancity_arsenal,0,1,0,4,1,10,8,38,17
E0,2024-09-28,12:30,Newcastle,Man City,1,1,D,0,1,11,16,4,6,14,10,5,6,4,4,0,0,5.09,4.47,1.61,5.3,4.7,1.63,2024-09-28 12:30:00,20240928_newcastle_mancity,0,1,0,2,0,11,8,27,24
E0,2024-09-28,15:00,Everton,Crystal Palace,2,1,H,0,1,8,17,2,5,13,11,5,8,2,1,0,0,2.73,3.39,2.63,2.8,3.59,2.71,2024-09-28 15:00:00,20240928_everton_crystalpalace,1,0,0,3,1,13,3,25,24
